property_name,lat,lon,loc1,loc2,loc3,loc4
Nhà Thuốc FPT Long Châu,10.7831023,106.64229859999999,1010 Âu Cơ,Phường 14,Tân Bình,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc Long Châu,10.816769899999999,106.7747,1 Dương Đình Hội,Phước Long B,Quận 9,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc Long Châu,10.8396706,106.65733329999999,105 Đường Lê Văn Thọ,Phường 8,Gò Vấp,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà thuốc Long Châu,10.8474396,106.7763865,73 Lê Văn Việt,P,Quận 9,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc FPT Long Châu,10.758262,106.643778,313A Đường Hàn Hải Nguyên,Phường 2,Quận 11,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà thuốc FPT Long Châu,10.760076699999999,106.69927279999999,307 Đ. Hoàng Diệu,Phường 6,Quận 4,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà thuốc Long Châu,10.982128999999999,106.680405,241 Lê Hồng Phong,P,Thủ Dầu Một,"Bình Dương 750000, Vietnam"
Nhà thuốc Long Châu,10.8596001,106.74750949999999,361 Đ. Tô Ngọc Vân,Tam Phú,Thủ Đức,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc FPT Long Châu,10.8377986,106.6295574,393 Đ. Nguyễn Văn Quá,Đông Hưng Thuận,Quận 12,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc FPT Long Châu,10.7429233,106.68821129999999,520 D. Bá Trạc,Phường 1,Quận 8,"Thành phố Hồ Chí Minh, Vietnam"
Nhà thuốc Long Châu,10.5364618,106.4063336,173 Đ. Hùng Vương,Phường 2,Tân An,"Long An, Vietnam"
Nhà thuốc Long Châu,10.7386223,106.6317722,"49 Lô V, Cư Xá Phú Lâm, Lý Chiêu Hoàng, P. 10",Phường 10,Quận 6,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà thuốc FPT Long Châu,10.745368299999999,106.6834274,163 Âu Dương Lân,Phường 2,Quận 8,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc FPT Long Châu,10.771467,106.62937289999999,69 Cây Keo,Phú Thạnh,Tân Phú,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc Long Châu,10.954756399999999,106.8520121,786 Phạm Văn Thuận,khu phố 1 p,Thành phố Biên Hòa,"Đồng Nai 810000, Vietnam"
Long Chau pharmacy,10.7069824,106.6229032,03 3052 Phạm Thế Hiển,Phường 7,Quận 8,"Thành phố Hồ Chí Minh, Vietnam"
Nhà Thuốc FPT Long Châu,10.7677769,106.66964329999999,395 Lý Thái Tổ,Phường 9,Quận 10,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc Long Châu,10.676421099999999,106.7458901,161 Nguyễn Bình,Phú Xuân,Nhà Bè,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà thuốc FPT Long Châu,10.7512223,106.6753231,19 Bùi Hữu Nghĩa,Phường 5,Quận 5,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà thuốc Long Châu,10.8586666,106.7775836,125 Lê Văn Chí,P,Thủ Đức,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc FPT Long Châu,10.813777,106.6951806,237A Đ. Phan Văn Trị,Phường 11,Bình Thạnh,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà thuốc Long Châu,10.817283399999999,106.77372349999999,1E Đường số 6,P,Quận 9,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc Long Châu 2,10.818094499999999,106.5735304,Liên Ấp 6-2,Vĩnh Lộc A,Bình Chánh,"Thành phố Hồ Chí Minh, Vietnam"
Nhà thuốc Long Châu,10.8732709,106.6322292,209 Nguyễn Thị Búp,Hiệp Thành,Quận 12,"Thành phố Hồ Chí Minh 70000, Vietnam"
Nhà Thuốc Long Châu,10.9677656,106.9009538,"Quốc lộ 1A, 562 Khu phố 10",Tân Biên,Thành phố Biên Hòa,"Đồng Nai, Vietnam"
Nhà Thuốc FPT Long Châu,10.7294438,106.5811868,1527 Nguyễn Cửu Phú,Tân Kiên,Bình Chánh,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà thuốc Long Châu,10.780444,106.952659,"5 Hai Bà Trưng, TT. Long Thành, H. Long Thành",TT. Long Thành,Long Thành,"Đồng Nai 810000, Vietnam"
Nhà Thuốc Long Châu,10.8576959,106.56316009999999,100 Đ. Dương Công Khi,Xuân Thới Thượng,Hóc Môn,"Thành phố Hồ Chí Minh, Vietnam"
Nhà Thuốc Long Châu,10.7878723,106.76109439999999,582 Đường Nguyễn Duy Trinh,Phường Bình Trưng Tây,Quận 2,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc Long Châu,10.9505967,106.81809559999999,"02 Hưng Đạo Vương, 126C Đ. Phan Đình Phùng",Trung Dũng,Thành phố Biên Hòa,"Đồng Nai 76000, Vietnam"
Nhà Thuốc Long Châu,10.8639069,106.7460297,28 Phú Châu,Tam Phú,Thủ Đức,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc Long Châu,10.8061943,106.73079969999999,Thảo Điền,Quận 2,Thành phố Hồ Chí Minh,Vietnam
Nhà thuốc Long Châu 181,10.839287599999999,106.7322088,34 Đường Hiệp Bình,Hiệp Bình Chánh,Thủ Đức,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc Long Châu 68,10.808701,106.594849,139 QL1A,Bình Hưng Hoà B,Bình Tân,"Thành phố Hồ Chí Minh, Vietnam"
Nhà Thuốc Long Châu,10.8587021,106.7448969,108 Đ. Tô Ngọc Vân,Linh Đông,Thủ Đức,"Thành phố Hồ Chí Minh, Vietnam"
Nhà Thuốc FPT Long Châu,10.7994503,106.6859137,368 Phan Xích Long,Phường 2,Phú Nhuận,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà thuốc Long Châu,10.8944048,106.39295879999999,"148 Tỉnh Lộ 10, TT. Hậu Nghĩa, H. Đức Hòa",Đức Hòa,Long An 850000,Vietnam
Nàh Thuốc Long Châu,10.8011223,106.589629,118 Số 2,Bình Hưng Hoà B,Bình Tân,"Thành phố Hồ Chí Minh, Vietnam"
